ID,CompanyName,StartDate,Revenue,LineOfBusiness,Location,Profit
1,Company_1,2022-01-01,221958,Retail,City_B,-47951
2,Company_2,2022-01-02,771155,Retail,City_A,-18384
3,Company_3,2022-01-03,1144356,Finance,City_B,-70876
4,Company_4,2022-01-04,465838,Retail,City_D,-20145
5,Company_5,2022-01-05,359178,Finance,City_D,11434
6,Company_6,2022-01-06,744167,IT,City_B,22694
7,Company_7,2022-01-07,210268,Manufacturing,City_C,-6984
8,Company_8,2022-01-08,832180,Manufacturing,City_B,-42600
9,Company_9,2022-01-09,154886,Manufacturing,City_C,-7358
10,Company_10,2022-01-10,1512153,Retail,City_A,-86704
11,Company_11,2022-01-11,1355612,IT,City_A,-56081
12,Company_12,2022-01-12,187498,Retail,City_A,16690
13,Company_13,2022-01-13,999159,Retail,City_D,-45501
14,Company_14,2022-01-14,275203,IT,City_A,-43705
15,Company_15,2022-01-15,291335,IT,City_C,9040
16,Company_16,2022-01-16,378167,IT,City_A,-37817
17,Company_17,2022-01-17,141090,IT,City_B,-20701
18,Company_18,2022-01-18,1203861,Manufacturing,City_B,-70101
19,Company_19,2022-01-19,164820,Healthcare,City_D,-17289
20,Company_20,2022-01-20,887201,Healthcare,City_B,-44461
21,Company_21,2022-01-21,421879,IT,City_C,3351
22,Company_22,2022-01-22,818315,Healthcare,City_A,11267
23,Company_23,2022-01-23,427069,Healthcare,City_D,-1646
24,Company_24,2022-01-24,876997,IT,City_A,-47443
25,Company_25,2022-01-25,299041,Healthcare,City_A,-11640
26,Company_26,2022-01-26,891743,Retail,City_C,32018
27,Company_27,2022-01-27,203355,Finance,City_B,-47800
28,Company_28,2022-01-28,335796,Finance,City_B,18497
29,Company_29,2022-01-29,314176,IT,City_A,-3025
30,Company_30,2022-01-30,284779,Manufacturing,City_D,-28643
31,Company_31,2022-01-31,1009435,IT,City_B,-64753
32,Company_32,2022-02-01,521909,Manufacturing,City_D,-47131
33,Company_33,2022-02-02,358795,Finance,City_B,11135
34,Company_34,2022-02-03,586232,IT,City_D,108
35,Company_35,2022-02-04,600186,Retail,City_C,44179
36,Company_36,2022-02-05,256730,Healthcare,City_D,40272
37,Company_37,2022-02-06,970910,Manufacturing,City_C,-11533
38,Company_38,2022-02-07,484681,Healthcare,City_C,-26672
39,Company_39,2022-02-08,249503,Healthcare,City_D,41412
40,Company_40,2022-02-09,754811,IT,City_C,36831
41,Company_41,2022-02-10,1855474,Healthcare,City_A,-86755
42,Company_42,2022-02-11,748143,Retail,City_C,8871
43,Company_43,2022-02-12,552366,Healthcare,City_B,-27601
44,Company_44,2022-02-13,165725,IT,City_D,-3786
